[2025-01-22 11:23:57,424] [140364778587968] DEBUG	logging.py - wrapper:137 -> [END] /usr/local/lib/python3.9/site-packages/ait_sdk/common/files/ait_manifest_generator.py[10]:set_ait_description()
[2025-01-22 11:23:57,425] [140364778587968] DEBUG	logging.py - wrapper:129 -> [START] /usr/local/lib/python3.9/site-packages/ait_sdk/common/files/ait_manifest_generator.py[13]:set_ait_source_repository(<ait_sdk.common.files.ait_manifest_generator.AITManifestGenerator object at 0x7fa903fdabb0>,https://github.com/aistairc/Qunomon_AIT_eval_model_regression_rmse_and_mae)
[2025-01-22 11:23:57,425] [140364778587968] DEBUG	logging.py - wrapper:137 -> [END] /usr/local/lib/python3.9/site-packages/ait_sdk/common/files/ait_manifest_generator.py[13]:set_ait_source_repository()
[2025-01-22 11:23:57,425] [140364778587968] DEBUG	logging.py - wrapper:129 -> [START] /usr/local/lib/python3.9/site-packages/ait_sdk/common/files/ait_manifest_generator.py[14]:set_ait_version(<ait_sdk.common.files.ait_manifest_generator.AITManifestGenerator object at 0x7fa903fdabb0>,0.3)
[2025-01-22 11:23:57,425] [140364778587968] DEBUG	logging.py - wrapper:137 -> [END] /usr/local/lib/python3.9/site-packages/ait_sdk/common/files/ait_manifest_generator.py[14]:set_ait_version()
[2025-01-22 11:23:57,426] [140364778587968] DEBUG	logging.py - wrapper:129 -> [START] /usr/local/lib/python3.9/site-packages/ait_sdk/common/files/ait_manifest_generator.py[17]:add_ait_keywords(<ait_sdk.common.files.ait_manifest_generator.AITManifestGenerator object at 0x7fa903fdabb0>)
[2025-01-22 11:23:57,426] [140364778587968] DEBUG	logging.py - wrapper:137 -> [END] /usr/local/lib/python3.9/site-packages/ait_sdk/common/files/ait_manifest_generator.py[17]:add_ait_keywords()
[2025-01-22 11:23:57,426] [140364778587968] DEBUG	logging.py - wrapper:129 -> [START] /usr/local/lib/python3.9/site-packages/ait_sdk/common/files/ait_manifest_generator.py[17]:add_ait_keywords(<ait_sdk.common.files.ait_manifest_generator.AITManifestGenerator object at 0x7fa903fdabb0>)
[2025-01-22 11:23:57,426] [140364778587968] DEBUG	logging.py - wrapper:137 -> [END] /usr/local/lib/python3.9/site-packages/ait_sdk/common/files/ait_manifest_generator.py[17]:add_ait_keywords()
[2025-01-22 11:23:57,426] [140364778587968] DEBUG	logging.py - wrapper:129 -> [START] /usr/local/lib/python3.9/site-packages/ait_sdk/common/files/ait_manifest_generator.py[17]:add_ait_keywords(<ait_sdk.common.files.ait_manifest_generator.AITManifestGenerator object at 0x7fa903fdabb0>)
[2025-01-22 11:23:57,427] [140364778587968] DEBUG	logging.py - wrapper:137 -> [END] /usr/local/lib/python3.9/site-packages/ait_sdk/common/files/ait_manifest_generator.py[17]:add_ait_keywords()
[2025-01-22 11:23:57,427] [140364778587968] DEBUG	logging.py - wrapper:129 -> [START] /usr/local/lib/python3.9/site-packages/ait_sdk/common/files/ait_manifest_generator.py[17]:add_ait_keywords(<ait_sdk.common.files.ait_manifest_generator.AITManifestGenerator object at 0x7fa903fdabb0>)
